試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数
339,194,152,1996.09.21,1996Jリーグ 第20節,柏レイソル,国立競技場,L,A,○ 7 - 0,7,0,"35,926人"
340,195,153,1996.09.28,1996Jリーグ 第21節,アビスパ福岡,札幌厚別公園競技場,L,H,○ 1 - 1 (PK 3 - 2),1,1,"5,611人"
341,,,1996.09.29,1996Jサテライトリーグ 第18節,柏レイソル,松戸市運動公園陸上競技場,S,A,○ 3 - 1,3,1,546人
342,196,154,1996.10.02,1996Jリーグ 第22節,横浜マリノス,横浜市三ツ沢公園球技場,L,A,○ 1 - 0,1,0,"11,798人"
343,197,155,1996.10.05,1996Jリーグ 第23節,ジュビロ磐田,浦和市駒場スタジアム,L,H,● 0 - 2,0,2,"20,044人"
344,,,1996.10.06,1996Jサテライトリーグ 第19節,ヴェルディ川崎,埼玉県営大宮公園サッカー場,S,H,○ 1 - 0,1,0,"4,040人"
345,,,1996.10.10,1996Jサテライトリーグ 第17節,ジェフユナイテッド市原,市原臨海競技場,S,A,○ 3 - 0,3,0,342人
346,,,1996.10.12,1996Jサテライトリーグ 第20節,ブランメル仙台,宮城県サッカー場,S,A,○ 4 - 0,4,0,465人
347,198,156,1996.10.16,1996Jリーグ 第24節,ガンバ大阪,万博記念競技場,L,A,● 0 - 1,0,1,"5,254人"
348,199,157,1996.10.19,1996Jリーグ 第25節,名古屋グランパスエイト,岐阜メモリアルセンター長良川競技場,L,A,○ 1 - 0,1,0,"22,267人"
349,,,1996.10.20,1996Jサテライトリーグ 準決勝,横浜フリューゲルス,埼玉県営大宮公園サッカー場,S,N,● 1 - 2,1,2,"2,068人"
350,200,158,1996.10.26,1996Jリーグ 第26節,ヴェルディ川崎,浦和市駒場スタジアム,L,H,○ 1 - 0,1,0,"19,495人"
351,201,159,1996.10.30,1996Jリーグ 第27節,ジェフユナイテッド市原,市原臨海競技場,L,A,● 0 - 1,0,1,"8,337人"
352,202,160,1996.11.02,1996Jリーグ 第28節,鹿島アントラーズ,国立競技場,L,H,● 0 - 0 (PK 4 - 5),0,0,"45,794人"
353,203,161,1996.11.06,1996Jリーグ 第29節,セレッソ大阪,大阪長居スタジアム,L,A,● 1 - 3,1,3,"7,493人"
354,204,162,1996.11.09,1996Jリーグ 第30節,横浜フリューゲルス,浦和市駒場スタジアム,L,H,○ 3 - 0,3,0,"19,357人"
355,205,,1996.11.17,第76回天皇杯全日本サッカー選手権大会 3回戦,ＮＴＴ関東,浦和市駒場スタジアム,E,N,○ 3 - 0,3,0,"15,344人"
356,,,1996.12.14,日独国際親善サッカーさいしんX'masスペシャル,VfBシュツットガルト(ドイツ),国立競技場,I,H,○ 5 - 0,5,0,"23,805人"
357,206,,1996.12.23,第76回天皇杯全日本サッカー選手権大会 4回戦,セレッソ大阪,栃木県グリーンスタジアム,E,N,○ 4 - 0,4,0,"10,143人"
358,207,,1996.12.26,第76回天皇杯全日本サッカー選手権大会 準々決勝,ベルマーレ平塚,名古屋市瑞穂陸上競技場,E,N,○ 3 - 0,3,0,"2,774人"
359,208,,1996.12.29,第76回天皇杯全日本サッカー選手権大会 準決勝,ヴェルディ川崎,国立競技場,E,N,● 0 - 3,0,3,"28,994人"
360,,,1997.02.23,岡山城築城400年記念Jリーグプレシーズンマッチ,ジュビロ磐田,岡山県総合グラウンド陸上競技場,P,A,△ 2 - 2,2,2,"8,898人"
361,209,,1997.03.08,1997Jリーグヤマザキナビスコカップ 予選リーグ 第1節,サガン鳥栖,鳥栖スタジアム,LC,A,△ 0 - 0,0,0,"7,021人"
362,,,1997.03.09,1997Jサテライトリーグ 第1節,ヴェルディ川崎,埼玉県営大宮公園サッカー場,S,H,○ 3 - 1,3,1,"2,324人"
363,210,,1997.03.15,1997Jリーグヤマザキナビスコカップ 予選リーグ 第2節,鹿島アントラーズ,浦和市駒場スタジアム,LC,H,△ 1 - 1,1,1,"18,165人"
364,,,1997.03.16,1997Jサテライトリーグ 第2節,ジェフユナイテッド市原,ジェフユナイテッド舞浜グラウンド,S,A,● 1 - 2,1,2,100人
365,211,,1997.03.19,1997Jリーグヤマザキナビスコカップ 予選リーグ 第3節,セレッソ大阪,大阪長居スタジアム,LC,A,△ 1 - 1,1,1,"5,087人"
366,212,,1997.03.22,1997Jリーグヤマザキナビスコカップ 予選リーグ 第4節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,LC,A,△ 0 - 0,0,0,"14,322人"
367,213,,1997.03.26,1997Jリーグヤマザキナビスコカップ 予選リーグ 第5節,セレッソ大阪,浦和市駒場スタジアム,LC,H,○ 3 - 1,3,1,"17,550人"
368,214,,1997.03.29,1997Jリーグヤマザキナビスコカップ 予選リーグ 第6節,サガン鳥栖,浦和市駒場スタジアム,LC,H,○ 4 - 0,4,0,"16,987人"
369,,,1997.03.30,1997Jサテライトリーグ 第4節,鹿島アントラーズ,埼玉県営大宮公園サッカー場,S,H,○ 2 - 1,2,1,"2,953人"
370,,,1997.04.06,1997Jサテライトリーグ 第5節,柏レイソル,松戸市運動公園陸上競技場,S,A,● 2 - 3,2,3,869人
371,,,1997.04.06,1997ナイキカップ・チャレンジJマッチ,福島FC,郡山市営開成山陸上競技場,P,A,○ 1 - 0,1,0,"3,970人"
372,215,163,1997.04.12,1997Jリーグ 1stステージ 第1節,横浜マリノス,浦和市駒場スタジアム,L,H,● 2 - 3,2,3,"20,098人"
373,,,1997.04.13,1997Jサテライトリーグ 第6節,ジェフユナイテッド市原,埼玉県営大宮公園サッカー場,S,H,○ 3 - 1,3,1,"3,201人"
374,216,164,1997.04.16,1997Jリーグ 1stステージ 第2節,清水エスパルス,日本平スタジアム,L,A,○ 1 - 0,1,0,"7,118人"
