試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数
1416,1112,791,2017.04.01,2017明治安田生命J1リーグ 第5節,ヴィッセル神戸,ノエビアスタジアム神戸,L,A,○ 3 - 1,3,1,"18,889人"
1417,1113,792,2017.04.07,2017明治安田生命J1リーグ 第6節,ベガルタ仙台,埼玉スタジアム2002,L,H,○ 7 - 0,7,0,"25,372人"
1418,1114,,2017.04.11,AFCチャンピオンズリーグ2017 グループステージ MD4,上海上港(中国),埼玉スタジアム2002,ACL,H,○ 1 - 0,1,0,"21,858人"
1419,1115,793,2017.04.16,2017明治安田生命J1リーグ 第7節,FC東京,味の素スタジアム,L,A,○ 1 - 0,1,0,"38,248人"
1420,1116,794,2017.04.22,2017明治安田生命J1リーグ 第8節,北海道コンサドーレ札幌,埼玉スタジアム2002,L,H,○ 3 - 2,3,2,"36,880人"
1421,1117,,2017.04.26,AFCチャンピオンズリーグ2017 グループステージ MD5,ウェスタン･シドニー･ワンダラーズ(オーストラリア),埼玉スタジアム2002,ACL,H,○ 6 - 1,6,1,"19,467人"
1422,1118,795,2017.04.30,2017明治安田生命J1リーグ 第9節,大宮アルディージャ,NACK5スタジアム大宮,L,A,● 0 - 1,0,1,"12,401人"
1423,1119,796,2017.05.04,2017明治安田生命J1リーグ 第10節,鹿島アントラーズ,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"57,447人"
1424,1120,,2017.05.10,AFCチャンピオンズリーグ2017 グループステージ MD6,FCソウル(韓国),ソウルワールドカップスタジアム,ACL,A,● 0 - 1,0,1,"4,933人"
1425,1121,797,2017.05.14,2017明治安田生命J1リーグ 第11節,アルビレックス新潟,デンカビッグスワンスタジアム,L,A,○ 6 - 1,6,1,"30,864人"
1426,1122,798,2017.05.20,2017明治安田生命J1リーグ 第12節,清水エスパルス,埼玉スタジアム2002,L,H,△ 3 - 3,3,3,"33,458人"
1427,1123,,2017.05.24,AFCチャンピオンズリーグ2017 ラウンド16 第1戦,済州ユナイテッドFC(韓国),済州総合競技場,ACL,A,● 0 - 2,0,2,"1,913人"
1428,1124,,2017.05.31,AFCチャンピオンズリーグ2017 ラウンド16 第2戦,済州ユナイテッドFC(韓国),埼玉スタジアム2002,ACL,H,○ 3 - 0,3,0,"19,149人"
1429,1125,799,2017.06.04,2017明治安田生命J1リーグ 第14節,柏レイソル,日立柏サッカー場,L,A,● 0 - 1,0,1,"14,096人"
1430,1126,800,2017.06.18,2017明治安田生命J1リーグ 第15節,ジュビロ磐田,埼玉スタジアム2002,L,H,● 2 - 4,2,4,"34,766人"
1431,1127,,2017.06.21,第97回天皇杯全日本サッカー選手権大会 2回戦,グルージャ盛岡,浦和駒場スタジアム,E,N,○ 3 - 2,3,2,"5,038人"
1432,1128,801,2017.06.25,2017明治安田生命J1リーグ 第16節,サガン鳥栖,ベストアメニティスタジアム,L,A,● 1 - 2,1,2,"17,913人"
1433,1129,802,2017.07.01,2017明治安田生命J1リーグ 第17節,サンフレッチェ広島,埼玉スタジアム2002,L,H,○ 4 - 3,4,3,"30,853人"
1434,1130,803,2017.07.05,2017明治安田生命J1リーグ 第13節,川崎フロンターレ,等々力陸上競技場,L,A,● 1 - 4,1,4,"22,561人"
1435,1131,804,2017.07.09,2017明治安田生命J1リーグ 第18節,アルビレックス新潟,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,"28,740人"
1436,1132,,2017.07.12,第97回天皇杯全日本サッカー選手権大会 3回戦,ロアッソ熊本,浦和駒場スタジアム,E,N,○ 1 - 0,1,0,"5,806人"
1437,,,2017.07.15,明治安田生命Jリーグワールドチャレンジ2017,ボルシア・ドルトムント(ドイツ),埼玉スタジアム2002,I,N,● 2 - 3,2,3,"58,327人"
1438,1133,805,2017.07.22,2017明治安田生命J1リーグ 第22節,セレッソ大阪,ヤンマースタジアム長居,L,A,● 2 - 4,2,4,"32,711人"
1439,1134,806,2017.07.29,2017明治安田生命J1リーグ 第19節,北海道コンサドーレ札幌,札幌ドーム,L,A,● 0 - 2,0,2,"33,353人"
1440,1135,807,2017.08.05,2017明治安田生命J1リーグ 第20節,大宮アルディージャ,埼玉スタジアム2002,L,H,△ 2 - 2,2,2,"45,411人"
1441,1136,808,2017.08.09,2017明治安田生命J1リーグ 第21節,ヴァンフォーレ甲府,山梨中銀スタジアム,L,A,○ 1 - 0,1,0,"14,489人"
1442,1137,,2017.08.15,スルガ銀行チャンピオンシップ2017 SAITAMA,シャペコエンセ(ブラジル),埼玉スタジアム2002,SBCS,N,○ 1 - 0,1,0,"11,002人"
1443,1138,809,2017.08.19,2017明治安田生命J1リーグ 第23節,FC東京,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,"31,818人"
1444,1139,,2017.08.23,AFCチャンピオンズリーグ2017 準々決勝 第1戦,川崎フロンターレ,等々力陸上競技場,ACL,A,● 1 - 3,1,3,"18,080人"
1445,1140,810,2017.08.27,2017明治安田生命J1リーグ 第24節,清水エスパルス,IAIスタジアム日本平,L,A,○ 2 - 1,2,1,"16,194人"
1446,1141,,2017.08.30,2017JリーグYBCルヴァンカップ 準々決勝 第1戦,セレッソ大阪,ヤンマースタジアム長居,LC,A,△ 0 - 0,0,0,"7,784人"
1447,1142,,2017.09.03,2017JリーグYBCルヴァンカップ 準々決勝 第2戦,セレッソ大阪,埼玉スタジアム2002,LC,H,△ 2 - 2,2,2,"23,116人"
1448,1143,811,2017.09.09,2017明治安田生命J1リーグ 第25節,柏レイソル,埼玉スタジアム2002,L,H,● 1 - 2,1,2,"31,619人"
1449,1144,,2017.09.13,AFCチャンピオンズリーグ2017 準々決勝 第2戦,川崎フロンターレ,埼玉スタジアム2002,ACL,H,○ 4 - 1,4,1,"26,785人"
1450,1145,812,2017.09.17,2017明治安田生命J1リーグ 第26節,ジュビロ磐田,エコパスタジアム,L,A,△ 1 - 1,1,1,"23,783人"
1451,1146,,2017.09.20,第97回天皇杯全日本サッカー選手権大会 ラウンド16(4回戦),鹿島アントラーズ,熊谷スポーツ文化公園陸上競技場,E,N,● 2 - 4,2,4,"10,051人"
1452,1147,813,2017.09.23,2017明治安田生命J1リーグ 第27節,サガン鳥栖,埼玉スタジアム2002,L,H,△ 2 - 2,2,2,"29,557人"
1453,1148,,2017.09.27,AFCチャンピオンズリーグ2017 準決勝 第1戦,上海上港(中国),上海体育場,ACL,A,△ 1 - 1,1,1,"33,513人"
1454,1149,814,2017.10.01,2017明治安田生命J1リーグ 第28節,ベガルタ仙台,ユアテックスタジアム仙台,L,A,○ 3 - 2,3,2,"18,026人"
1455,1150,815,2017.10.14,2017明治安田生命J1リーグ 第29節,ヴィッセル神戸,埼玉スタジアム2002,L,H,△ 1 - 1,1,1,"29,931人"
1456,1151,,2017.10.18,AFCチャンピオンズリーグ2017 準決勝 第2戦,上海上港(中国),埼玉スタジアム2002,ACL,H,○ 1 - 0,1,0,"44,357人"
1457,1152,816,2017.10.22,2017明治安田生命J1リーグ 第30節,ガンバ大阪,埼玉スタジアム2002,L,H,△ 3 - 3,3,3,"21,603人"
1458,1153,817,2017.10.29,2017明治安田生命J1リーグ 第31節,サンフレッチェ広島,エディオンスタジアム広島,L,A,○ 1 - 0,1,0,"17,178人"
1459,1154,818,2017.11.05,2017明治安田生命J1リーグ 第32節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 0 - 1,0,1,"33,356人"
1460,1155,,2017.11.18,AFCチャンピオンズリーグ2017 決勝 第1戦,アルヒラル(サウジアラビア),キング・ファハド国際スタジアム,ACL,A,△ 1 - 1,1,1,"59,136人"
1461,1156,,2017.11.25,AFCチャンピオンズリーグ2017 決勝 第2戦,アルヒラル(サウジアラビア),埼玉スタジアム2002,ACL,H,○ 1 - 0,1,0,"57,727人"
1462,1157,819,2017.11.29,2017明治安田生命J1リーグ 第33節,川崎フロンターレ,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"24,605人"
1463,1158,820,2017.12.02,2017明治安田生命J1リーグ 第34節,横浜F・マリノス,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"41,618人"
1464,1159,,2017.12.09,FIFAクラブワールドカップ UAE 2017 準々決勝,アルジャジーラ(UAE),ザイード・スポーツシティ・スタジアム,FCWC,N,● 0 - 1,0,1,"15,593人"
1465,1160,,2017.12.12,FIFAクラブワールドカップ UAE 2017 5位決定戦,ウィダード・カサブランカ(モロッコ),ハッザ・ビン・ザイード・スタジアム,FCWC,N,○ 3 - 2,3,2,"4,281人"
1466,1161,821,2018.02.24,2018明治安田生命J1リーグ 第1節,FC東京,味の素スタジアム,L,A,△ 1 - 1,1,1,"35,951人"
1467,1162,822,2018.03.04,2018明治安田生命J1リーグ 第2節,サンフレッチェ広島,埼玉スタジアム2002,L,H,● 1 - 2,1,2,"41,324人"
1468,1163,,2018.03.07,2018JリーグYBCルヴァンカップ グループステージ 第1節,名古屋グランパス,パロマ瑞穂スタジアム,LC,A,○ 4 - 1,4,1,"9,491人"
1469,1164,823,2018.03.10,2018明治安田生命J1リーグ 第3節,V・ファーレン長崎,トランスコスモススタジアム長崎,L,A,△ 1 - 1,1,1,"15,975人"
1470,1165,,2018.03.14,2018JリーグYBCルヴァンカップ グループステージ 第2節,ガンバ大阪,埼玉スタジアム2002,LC,H,● 1 - 4,1,4,"21,897人"
1471,1166,824,2018.03.18,2018明治安田生命J1リーグ 第4節,横浜F・マリノス,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"33,168人"
1472,1167,825,2018.04.01,2018明治安田生命J1リーグ 第5節,ジュビロ磐田,エコパスタジアム,L,A,● 1 - 2,1,2,"21,755人"
1473,1168,,2018.04.04,2018JリーグYBCルヴァンカップ グループステージ 第3節,サンフレッチェ広島,エディオンスタジアム広島,LC,A,△ 0 - 0,0,0,"8,697人"
1474,1169,826,2018.04.07,2018明治安田生命J1リーグ 第6節,ベガルタ仙台,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"28,984人"
1475,1170,827,2018.04.11,2018明治安田生命J1リーグ 第7節,ヴィッセル神戸,ノエビアスタジアム神戸,L,A,○ 3 - 2,3,2,"9,758人"
1476,1171,828,2018.04.15,2018明治安田生命J1リーグ 第8節,清水エスパルス,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,"28,295人"
1477,1172,,2018.04.18,2018JリーグYBCルヴァンカップ グループステージ 第4節,ガンバ大阪,パナソニックスタジアム吹田,LC,A,○ 1 - 0,1,0,"9,516人"
1478,1173,829,2018.04.21,2018明治安田生命J1リーグ 第9節,北海道コンサドーレ札幌,埼玉スタジアム2002,L,H,△ 0 - 0,0,0,"39,091人"
1479,1174,830,2018.04.25,2018明治安田生命J1リーグ 第10節,柏レイソル,三協フロンテア柏スタジアム,L,A,● 0 - 1,0,1,"11,257人"
1480,1175,831,2018.04.28,2018明治安田生命J1リーグ 第11節,湘南ベルマーレ,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"33,132人"
1481,1176,832,2018.05.02,2018明治安田生命J1リーグ 第12節,川崎フロンターレ,等々力陸上競技場,L,A,○ 2 - 0,2,0,"22,817人"
1482,1177,833,2018.05.05,2018明治安田生命J1リーグ 第13節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 0 - 1,0,1,"33,647人"
1483,1178,,2018.05.09,2018JリーグYBCルヴァンカップ グループステージ 第5節,名古屋グランパス,埼玉スタジアム2002,LC,H,○ 2 - 0,2,0,"15,960人"
1484,1179,834,2018.05.13,2018明治安田生命J1リーグ 第14節,サガン鳥栖,埼玉スタジアム2002,L,H,△ 0 - 0,0,0,"40,137人"
1485,1180,,2018.05.16,2018JリーグYBCルヴァンカップ グループステージ 第6節,サンフレッチェ広島,埼玉スタジアム2002,LC,H,○ 1 - 0,1,0,"17,530人"
1486,1181,835,2018.05.19,2018明治安田生命J1リーグ 第15節,ガンバ大阪,パナソニックスタジアム吹田,L,A,△ 0 - 0,0,0,"25,361人"
1487,1182,,2018.06.02,2018JリーグYBCルヴァンカップ プレーオフステージ 第1戦,ヴァンフォーレ甲府,山梨中銀スタジアム,LC,A,● 0 - 2,0,2,"10,337人"
1488,1183,,2018.06.06,天皇杯 JFA 第98回全日本サッカー選手権大会 2回戦,Y.S.C.C.横浜,浦和駒場スタジアム,E,N,○ 3 - 0,3,0,"4,276人"
1489,1184,,2018.06.09,2018JリーグYBCルヴァンカップ プレーオフステージ 第2戦,ヴァンフォーレ甲府,埼玉スタジアム2002,LC,H,○ 2 - 1,2,1,"22,664人"
1490,1185,,2018.07.11,天皇杯 JFA 第98回全日本サッカー選手権大会 3回戦,松本山雅FC,松本平広域公園総合球技場,E,N,○ 2 - 1,2,1,"12,077人"
1491,1186,836,2018.07.18,2018明治安田生命J1リーグ 第16節,名古屋グランパス,埼玉スタジアム2002,L,H,○ 3 - 1,3,1,"21,250人"
1492,1187,837,2018.07.22,2018明治安田生命J1リーグ 第17節,セレッソ大阪,ヤンマースタジアム長居,L,A,△ 1 - 1,1,1,"27,915人"
1493,1188,838,2018.07.28,2018明治安田生命J1リーグ 第18節,サンフレッチェ広島,エディオンスタジアム広島,L,A,○ 4 - 1,4,1,"16,944人"
1494,1189,839,2018.08.01,2018明治安田生命J1リーグ 第19節,川崎フロンターレ,埼玉スタジアム2002,L,H,○ 2 - 0,2,0,"28,215人"
1495,1190,840,2018.08.05,2018明治安田生命J1リーグ 第20節,V・ファーレン長崎,埼玉スタジアム2002,L,H,△ 0 - 0,0,0,"29,051人"
1496,1191,841,2018.08.11,2018明治安田生命J1リーグ 第21節,サガン鳥栖,ベストアメニティスタジアム,L,A,● 0 - 1,0,1,"19,681人"
1497,1192,842,2018.08.15,2018明治安田生命J1リーグ 第22節,ジュビロ磐田,埼玉スタジアム2002,L,H,○ 4 - 0,4,0,"33,824人"
1498,1193,843,2018.08.19,2018明治安田生命J1リーグ 第23節,清水エスパルス,IAIスタジアム日本平,L,A,△ 3 - 3,3,3,"14,914人"
1499,1194,,2018.08.22,天皇杯 JFA 第98回全日本サッカー選手権大会 ラウンド16(4回戦),東京ヴェルディ,熊谷スポーツ文化公園陸上競技場,E,N,○ 1 - 0,1,0,"6,458人"
1500,1195,844,2018.08.26,2018明治安田生命J1リーグ 第24節,名古屋グランパス,豊田スタジアム,L,A,● 1 - 4,1,4,"26,410人"
1501,1196,845,2018.09.01,2018明治安田生命J1リーグ 第25節,セレッソ大阪,埼玉スタジアム2002,L,H,● 1 - 2,1,2,"27,337人"
1502,1197,846,2018.09.16,2018明治安田生命J1リーグ 第26節,横浜F・マリノス,日産スタジアム,L,A,○ 2 - 1,2,1,"41,686人"
1503,1198,847,2018.09.23,2018明治安田生命J1リーグ 第27節,ヴィッセル神戸,埼玉スタジアム2002,L,H,○ 4 - 0,4,0,"55,689人"
1504,1199,848,2018.09.30,2018明治安田生命J1リーグ 第28節,柏レイソル,埼玉スタジアム2002,L,H,○ 3 - 2,3,2,"26,431人"
1505,1200,849,2018.10.07,2018明治安田生命J1リーグ 第29節,ベガルタ仙台,ユアテックスタジアム仙台,L,A,△ 1 - 1,1,1,"18,276人"
1506,1201,850,2018.10.20,2018明治安田生命J1リーグ 第30節,鹿島アントラーズ,埼玉スタジアム2002,L,H,○ 3 - 1,3,1,"46,893人"
1507,1202,,2018.10.24,天皇杯 JFA 第98回全日本サッカー選手権大会 準々決勝,サガン鳥栖,熊谷スポーツ文化公園陸上競技場,E,N,○ 2 - 0,2,0,"7,867人"
1508,1203,851,2018.11.03,2018明治安田生命J1リーグ 第31節,ガンバ大阪,埼玉スタジアム2002,L,H,● 1 - 3,1,3,"43,943人"
1509,1204,852,2018.11.10,2018明治安田生命J1リーグ 第32節,北海道コンサドーレ札幌,札幌厚別公園競技場,L,A,○ 2 - 1,2,1,"12,723人"
1510,1205,853,2018.11.24,2018明治安田生命J1リーグ 第33節,湘南ベルマーレ,Shonan BMW スタジアム平塚,L,A,● 1 - 2,1,2,"14,711人"
1511,1206,854,2018.12.01,2018明治安田生命J1リーグ 第34節,FC東京,埼玉スタジアム2002,L,H,○ 3 - 2,3,2,"46,770人"
1512,1207,,2018.12.05,天皇杯 JFA 第98回全日本サッカー選手権大会 準決勝,鹿島アントラーズ,茨城県立カシマサッカースタジアム,E,N,○ 1 - 0,1,0,"13,949人"
1513,1208,,2018.12.09,天皇杯 JFA 第98回全日本サッカー選手権大会 決勝,ベガルタ仙台,埼玉スタジアム2002,E,N,○ 1 - 0,1,0,"50,978人"
1514,1209,,2019.02.16,FUJI XEROX SUPER CUP 2019,川崎フロンターレ,埼玉スタジアム2002,SC,N,● 0 - 1,0,1,"52,587人"
1515,1210,855,2019.02.23,2019明治安田生命J1リーグ 第1節,ベガルタ仙台,ユアテックスタジアム仙台,L,A,△ 0 - 0,0,0,"18,567人"
1516,1211,856,2019.03.02,2019明治安田生命J1リーグ 第2節,北海道コンサドーレ札幌,埼玉スタジアム2002,L,H,● 0 - 2,0,2,"41,109人"
1517,1212,,2019.03.06,AFCチャンピオンズリーグ2019 グループステージ MD1,ブリーラム・ユナイテッド,埼玉スタジアム2002,ACL,H,○ 3 - 0,3,0,"20,056人"
1518,1213,857,2019.03.09,2019明治安田生命J1リーグ 第3節,松本山雅FC,サンプロ アルウィン,L,A,○ 1 - 0,1,0,"18,922人"
1519,1214,,2019.03.13,AFCチャンピオンズリーグ2019 グループステージ MD2,北京国安,北京工人体育場,ACL,A,△ 0 - 0,0,0,"43,112人"
1520,1215,858,2019.03.17,2019明治安田生命J1リーグ 第4節,セレッソ大阪,ヤンマースタジアム長居,L,A,○ 2 - 1,2,1,"21,022人"
1521,1216,859,2019.03.30,2019明治安田生命J1リーグ 第5節,FC東京,埼玉スタジアム2002,L,H,△ 1 - 1,1,1,"39,055人"
1522,1217,860,2019.04.05,2019明治安田生命J1リーグ 第6節,横浜F・マリノス,埼玉スタジアム2002,L,H,● 0 - 3,0,3,"32,555人"
1523,1218,,2019.04.09,AFCチャンピオンズリーグ2019 グループステージ MD3,全北現代モータース,埼玉スタジアム2002,ACL,H,● 0 - 1,0,1,"20,118人"
1524,1219,861,2019.04.14,2019明治安田生命J1リーグ 第7節,ガンバ大阪,パナソニックスタジアム吹田,L,A,○ 1 - 0,1,0,"27,870人"
1525,1220,862,2019.04.20,2019明治安田生命J1リーグ 第8節,ヴィッセル神戸,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"54,599人"
1526,1221,,2019.04.24,AFCチャンピオンズリーグ2019 グループステージ MD4,全北現代モータース,全州ワールドカップスタジアム,ACL,A,● 1 - 2,1,2,"8,096人"
1527,1222,863,2019.04.28,2019明治安田生命J1リーグ 第9節,清水エスパルス,IAIスタジアム日本平,L,A,○ 2 - 0,2,0,"18,246人"
1528,1223,864,2019.05.03,2019明治安田生命J1リーグ 第10節,ジュビロ磐田,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"53,361人"
1529,1224,,2019.05.07,AFCチャンピオンズリーグ2019 グループステージ MD5,ブリーラム・ユナイテッド,ブリーラムスタジアム,ACL,A,○ 2 - 1,2,1,"10,970人"
1530,1225,865,2019.05.12,2019明治安田生命J1リーグ 第11節,名古屋グランパス,豊田スタジアム,L,A,● 0 - 2,0,2,"30,839人"
1531,1226,866,2019.05.17,2019明治安田生命J1リーグ 第12節,湘南ベルマーレ,埼玉スタジアム2002,L,H,● 2 - 3,2,3,"23,221人"
1532,1227,,2019.05.21,AFCチャンピオンズリーグ2019 グループステージ MD6,北京国安,埼玉スタジアム2002,ACL,H,○ 3 - 0,3,0,"22,885人"
1533,1228,867,2019.05.26,2019明治安田生命J1リーグ 第13節,サンフレッチェ広島,埼玉スタジアム2002,L,H,● 0 - 4,0,4,"33,235人"
1534,1229,868,2019.06.01,2019明治安田生命J1リーグ 第14節,川崎フロンターレ,等々力陸上競技場,L,A,△ 1 - 1,1,1,"24,578人"
1535,1230,869,2019.06.15,2019明治安田生命J1リーグ 第15節,サガン鳥栖,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,"28,081人"
1536,1231,,2019.06.19,AFCチャンピオンズリーグ2019 ラウンド16 第1戦,蔚山現代,埼玉スタジアム2002,ACL,H,● 1 - 2,1,2,"20,741人"
1537,1232,,2019.06.26,AFCチャンピオンズリーグ2019 ラウンド16 第2戦,蔚山現代,蔚山文殊フットボールスタジアム,ACL,A,○ 3 - 0,3,0,"3,140人"
1538,1233,870,2019.06.30,2019明治安田生命J1リーグ 第17節,大分トリニータ,昭和電工ドーム大分,L,A,● 0 - 2,0,2,"14,519人"
1539,1234,,2019.07.03,天皇杯 JFA 第99回全日本サッカー選手権大会 2回戦,流通経済大学,浦和駒場スタジアム,E,N,○ 2 - 1,2,1,"6,691人"
1540,1235,871,2019.07.06,2019明治安田生命J1リーグ 第18節,ベガルタ仙台,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"28,904人"
1541,1236,872,2019.07.13,2019明治安田生命J1リーグ 第19節,横浜F・マリノス,日産スタジアム,L,A,● 1 - 3,1,3,"33,673人"
1542,1237,873,2019.07.20,2019明治安田生命J1リーグ 第20節,ジュビロ磐田,エコパスタジアム,L,A,○ 3 - 1,3,1,"23,060人"
1543,1238,874,2019.07.31,2019明治安田生命J1リーグ 第16節,鹿島アントラーズ,埼玉スタジアム2002,L,H,△ 1 - 1,1,1,"37,265人"
1544,1239,875,2019.08.04,2019明治安田生命J1リーグ 第21節,名古屋グランパス,埼玉スタジアム2002,L,H,△ 2 - 2,2,2,"37,238人"
1545,1240,876,2019.08.10,2019明治安田生命J1リーグ 第22節,北海道コンサドーレ札幌,札幌ドーム,L,A,△ 1 - 1,1,1,"35,531人"
1546,1241,,2019.08.14,天皇杯 JFA 第99回全日本サッカー選手権大会 3回戦,水戸ホーリーホック,ケーズデンキスタジアム水戸,E,N,○ 2 - 1,2,1,"8,537人"
1547,1242,877,2019.08.17,2019明治安田生命J1リーグ 第23節,ヴィッセル神戸,ノエビアスタジアム神戸,L,A,● 0 - 3,0,3,"22,513人"
1548,1243,878,2019.08.23,2019明治安田生命J1リーグ 第24節,松本山雅FC,埼玉スタジアム2002,L,H,● 1 - 2,1,2,"27,038人"
1549,1244,,2019.08.27,AFCチャンピオンズリーグ2019 準々決勝 第1戦,上海上港,上海体育場,ACL,A,△ 2 - 2,2,2,"24,573人"
1550,1245,879,2019.09.01,2019明治安田生命J1リーグ 第25節,湘南ベルマーレ,Shonan BMW スタジアム平塚,L,A,△ 1 - 1,1,1,"13,569人"
1551,1246,,2019.09.04,2019JリーグYBCルヴァンカップ 準々決勝 第1戦,鹿島アントラーズ,埼玉スタジアム2002,LC,H,● 2 - 3,2,3,"21,148人"
1552,1247,,2019.09.08,2019JリーグYBCルヴァンカップ 準々決勝 第2戦,鹿島アントラーズ,県立カシマサッカースタジアム,LC,A,△ 2 - 2,2,2,"14,887人"
1553,1248,880,2019.09.13,2019明治安田生命J1リーグ 第26節,セレッソ大阪,埼玉スタジアム2002,L,H,● 1 - 2,1,2,"22,640人"
1554,1249,,2019.09.17,AFCチャンピオンズリーグ2019 準々決勝 第2戦,上海上港,埼玉スタジアム2002,ACL,H,△ 1 - 1,1,1,"28,533人"
1555,1250,,2019.09.25,天皇杯 JFA 第99回全日本サッカー選手権大会 ラウンド16(4回戦),Honda FC,埼玉スタジアム2002,E,N,● 0 - 2,0,2,"11,953人"
1556,1251,881,2019.09.28,2019明治安田生命J1リーグ 第27節,サガン鳥栖,駅前不動産スタジアム,L,A,△ 3 - 3,3,3,"14,099人"
1557,1252,,2019.10.02,AFCチャンピオンズリーグ2019 準決勝 第1戦,広州恒大,埼玉スタジアム2002,ACL,H,○ 2 - 0,2,0,"30,068人"
1558,1253,882,2019.10.06,2019明治安田生命J1リーグ 第28節,清水エスパルス,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,"34,131人"
1559,1254,883,2019.10.18,2019明治安田生命J1リーグ 第29節,大分トリニータ,埼玉スタジアム2002,L,H,● 0 - 1,0,1,"19,698人"
1560,1255,,2019.10.23,AFCチャンピオンズリーグ2019 準決勝 第2戦,広州恒大,広州天河体育中心,ACL,A,○ 1 - 0,1,0,"39,999人"
1561,1256,884,2019.10.29,2019明治安田生命J1リーグ 第31節,サンフレッチェ広島,エディオンスタジアム広島,L,A,△ 1 - 1,1,1,"6,710人"
1562,1257,885,2019.11.01,2019明治安田生命J1リーグ 第30節,鹿島アントラーズ,県立カシマサッカースタジアム,L,A,● 0 - 1,0,1,"14,439人"
1563,1258,886,2019.11.05,2019明治安田生命J1リーグ 第32節,川崎フロンターレ,埼玉スタジアム2002,L,H,● 0 - 2,0,2,"21,817人"
1564,1259,,2019.11.09,AFCチャンピオンズリーグ2019 決勝 第1戦,アルヒラル,サウード国王大学スタジアム,ACL,A,● 0 - 1,0,1,"22,549人"
1565,1260,,2019.11.24,AFCチャンピオンズリーグ2019 決勝 第2戦,アルヒラル,埼玉スタジアム2002,ACL,H,● 0 - 2,0,2,"58,109人"
1566,1261,887,2019.11.30,2019明治安田生命J1リーグ 第33節,FC東京,味の素スタジアム,L,A,△ 1 - 1,1,1,"40,202人"
1567,1262,888,2019.12.07,2019明治安田生命J1リーグ 第34節,ガンバ大阪,埼玉スタジアム2002,L,H,● 2 - 3,2,3,"47,188人"
1568,1263,,2020.02.16,2020JリーグYBCルヴァンカップ グループステージ 第1節,ベガルタ仙台,埼玉スタジアム2002,LC,H,○ 5 - 2,5,2,"19,589人"
1569,1264,889,2020.02.21,2020明治安田生命J1リーグ 第1節,湘南ベルマーレ,Shonan BMW スタジアム平塚,L,A,○ 3 - 2,3,2,"13,071人"
1570,1265,890,2020.07.04,2020明治安田生命J1リーグ 第2節,横浜F・マリノス,埼玉スタジアム2002,L,H,△ 0 - 0,0,0,-
1571,1266,891,2020.07.08,2020明治安田生命J1リーグ 第3節,ベガルタ仙台,ユアテックスタジアム仙台,L,A,○ 2 - 1,2,1,-
1572,1267,892,2020.07.12,2020明治安田生命J1リーグ 第4節,鹿島アントラーズ,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"3,094人"
1573,1268,893,2020.07.18,2020明治安田生命J1リーグ 第5節,FC東京,味の素スタジアム,L,A,● 0 - 2,0,2,"4,705人"
1574,1269,894,2020.07.22,2020明治安田生命J1リーグ 第6節,柏レイソル,埼玉スタジアム2002,L,H,● 0 - 4,0,4,"4,127人"
1575,1270,895,2020.07.26,2020明治安田生命J1リーグ 第7節,横浜FC,ニッパツ三ツ沢球技場,L,A,○ 2 - 0,2,0,"2,580人"
1576,1271,896,2020.08.01,2020明治安田生命J1リーグ 第8節,清水エスパルス,埼玉スタジアム2002,L,H,△ 1 - 1,1,1,"4,237人"
1577,1272,,2020.08.05,2020JリーグYBCルヴァンカップ グループステージ 第2節,セレッソ大阪,ヤンマースタジアム長居,LC,A,● 0 - 1,0,1,"2,847人"
1578,1273,897,2020.08.08,2020明治安田生命J1リーグ 第9節,名古屋グランパス,豊田スタジアム,L,A,● 2 - 6,2,6,"4,956人"
1579,1274,898,2020.08.15,2020明治安田生命J1リーグ 第10節,サンフレッチェ広島,埼玉スタジアム2002,L,H,○ 1 - 0,1,0,"4,287人"
1580,1275,899,2020.08.19,2020明治安田生命J1リーグ 第11節,ガンバ大阪,パナソニック スタジアム 吹田,L,A,○ 3 - 1,3,1,"4,721人"
1581,1276,900,2020.08.23,2020明治安田生命J1リーグ 第12節,ヴィッセル神戸,埼玉スタジアム2002,L,H,● 1 - 2,1,2,"4,435人"
1582,1277,901,2020.08.29,2020明治安田生命J1リーグ 第13節,大分トリニータ,埼玉スタジアム2002,L,H,○ 2 - 1,2,1,"4,316人"
1583,1278,902,2020.09.05,2020明治安田生命J1リーグ 第14節,セレッソ大阪,ヤンマースタジアム長居,L,A,● 0 - 3,0,3,"4,793人"
