試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数,date,year,month,day,weekday,result,延期or中止
1381,1078,769,2016.06.25,2016明治安田生命J1リーグ 1stステージ 第17節,ヴィッセル神戸,埼玉スタジアム2002,L,H,○ 3 - 1,3,1,29462,2016-06-25,2016,6,25,土,W,False
1382,1079,770,2016.07.02,2016明治安田生命J1リーグ 2ndステージ 第1節,アビスパ福岡,レベルファイブスタジアム,L,A,○ 2 - 1,2,1,18509,2016-07-02,2016,7,2,土,W,False
1383,1080,771,2016.07.09,2016明治安田生命J1リーグ 2ndステージ 第2節,柏レイソル,埼玉スタジアム2002,L,H,○ 2 - 0,2,0,27875,2016-07-09,2016,7,9,土,W,False
1384,1081,772,2016.07.13,2016明治安田生命J1リーグ 2ndステージ 第3節,ベガルタ仙台,ユアテックスタジアム仙台,L,A,○ 1 - 0,1,0,14056,2016-07-13,2016,7,13,水,W,False
1385,1082,773,2016.07.17,2016明治安田生命J1リーグ 2ndステージ 第4節,大宮アルディージャ,埼玉スタジアム2002,L,H,△ 2 - 2,2,2,53951,2016-07-17,2016,7,17,日,D,False
1386,1083,774,2016.07.23,2016明治安田生命J1リーグ 2ndステージ 第5節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,○ 2 - 1,2,1,30249,2016-07-23,2016,7,23,土,W,False
1387,1084,775,2016.07.30,2016明治安田生命J1リーグ 2ndステージ 第6節,ヴァンフォーレ甲府,山梨中銀スタジアム,L,A,○ 2 - 0,2,0,15508,2016-07-30,2016,7,30,土,W,False
1388,1085,776,2016.08.06,2016明治安田生命J1リーグ 2ndステージ 第7節,湘南ベルマーレ,埼玉スタジアム2002,L,H,○ 4 - 1,4,1,29104,2016-08-06,2016,8,6,土,W,False
1389,1086,777,2016.08.13,2016明治安田生命J1リーグ 2ndステージ 第8節,名古屋グランパス,豊田スタジアム,L,A,○ 2 - 0,2,0,29508,2016-08-13,2016,8,13,土,W,False
1390,1087,778,2016.08.20,2016明治安田生命J1リーグ 2ndステージ 第9節,川崎フロンターレ,埼玉スタジアム2002,L,H,● 1 - 2,1,2,44176,2016-08-20,2016,8,20,土,L,False
1391,1088,779,2016.08.27,2016明治安田生命J1リーグ 2ndステージ 第10節,ヴィッセル神戸,ノエビアスタジアム神戸,L,A,● 1 - 2,1,2,14877,2016-08-27,2016,8,27,土,L,False
1392,1089,,2016.08.31,2016ＪリーグYBCルヴァンカップ 準々決勝 第1戦,ヴィッセル神戸,ノエビアスタジアム神戸,LC,A,○ 2 - 1,2,1,7001,2016-08-31,2016,8,31,水,W,False
1393,1090,,2016.09.04,2016ＪリーグYBCルヴァンカップ 準々決勝 第2戦,ヴィッセル神戸,埼玉スタジアム2002,LC,H,○ 4 - 0,4,0,19253,2016-09-04,2016,9,4,日,W,False
1394,1091,780,2016.09.10,2016明治安田生命J1リーグ 2ndステージ 第11節,サガン鳥栖,埼玉スタジアム2002,L,H,○ 2 - 0,2,0,28167,2016-09-10,2016,9,10,土,W,False
1395,1092,781,2016.09.17,2016明治安田生命J1リーグ 2ndステージ 第12節,FC東京,味の素スタジアム,L,A,○ 3 - 1,3,1,33493,2016-09-17,2016,9,17,土,W,False
1396,1093,782,2016.09.25,2016明治安田生命J1リーグ 2ndステージ 第13節,サンフレッチェ広島,埼玉スタジアム2002,L,H,○ 3 - 0,3,0,37005,2016-09-25,2016,9,25,日,W,False
1397,1094,783,2016.10.01,2016明治安田生命J1リーグ 2ndステージ 第14節,ガンバ大阪,埼玉スタジアム2002,L,H,○ 4 - 0,4,0,43415,2016-10-01,2016,10,1,土,W,False
1398,1095,,2016.10.05,2016ＪリーグYBCルヴァンカップ 準決勝 第1戦,FC東京,味の素スタジアム,LC,A,○ 2 - 1,2,1,13354,2016-10-05,2016,10,5,水,W,False
1399,1096,,2016.10.09,2016ＪリーグYBCルヴァンカップ 準決勝 第2戦,FC東京,埼玉スタジアム2002,LC,H,○ 3 - 1,3,1,26876,2016-10-09,2016,10,9,日,W,False
1400,1097,,2016.10.15,2016ＪリーグYBCルヴァンカップ 決勝,ガンバ大阪,埼玉スタジアム2002,LC,N,○ 1 - 1 (PK 5 - 4),1,1,51248,2016-10-15,2016,10,15,土,W,False
1401,1098,784,2016.10.22,2016明治安田生命J1リーグ 2ndステージ 第15節,アルビレックス新潟,デンカビッグスワンスタジアム,L,A,○ 2 - 1,2,1,29692,2016-10-22,2016,10,22,土,W,False
1402,1099,785,2016.10.29,2016明治安田生命J1リーグ 2ndステージ 第16節,ジュビロ磐田,エコパスタジアム,L,A,○ 1 - 0,1,0,24896,2016-10-29,2016,10,29,土,W,False
1403,1100,786,2016.11.03,2016明治安田生命J1リーグ 2ndステージ 第17節,横浜F・マリノス,埼玉スタジアム2002,L,H,△ 1 - 1,1,1,56841,2016-11-03,2016,11,3,木,D,False
1404,1101,,2016.11.12,第96回天皇杯全日本サッカー選手権大会 ラウンド16(4回戦),川崎フロンターレ,等々力陸上競技場,E,N,● 3 - 3 (PK 1 - 4),3,3,20009,2016-11-12,2016,11,12,土,L,False
1405,1102,,2016.11.29,明治安田生命2016Jリーグチャンピオンシップ 決勝 第1戦,鹿島アントラーズ,茨城県立カシマサッカースタジアム,CS,A,○ 1 - 0,1,0,23074,2016-11-29,2016,11,29,火,W,False
1406,1103,,2016.12.03,明治安田生命2016Jリーグチャンピオンシップ 決勝 第2戦,鹿島アントラーズ,埼玉スタジアム2002,CS,H,● 1 - 2,1,2,59837,2016-12-03,2016,12,3,土,L,False
1407,,,2017.02.12,第10回さいたまシティカップ,FCソウル(韓国),浦和駒場スタジアム,I,H,△ 1 - 1,1,1,11444,2017-02-12,2017,2,12,日,D,False
1408,1104,,2017.02.18,FUJI XEROX SUPER CUP 2017,鹿島アントラーズ,日産スタジアム,SC,N,● 2 - 3,2,3,48250,2017-02-18,2017,2,18,土,L,False
1409,1105,,2017.02.21,AFCチャンピオンズリーグ2017 グループステージ MD1,ウェスタン･シドニー･ワンダラーズ(オーストラリア),キャンベルタウン・スポーツスタジアム,ACL,A,○ 4 - 0,4,0,5590,2017-02-21,2017,2,21,火,W,False
1410,1106,787,2017.02.25,2017明治安田生命J1リーグ 第1節,横浜F・マリノス,日産スタジアム,L,A,● 2 - 3,2,3,39284,2017-02-25,2017,2,25,土,L,False
1411,1107,,2017.02.28,AFCチャンピオンズリーグ2017 グループステージ MD2,FCソウル(韓国),埼玉スタジアム2002,ACL,H,○ 5 - 2,5,2,18727,2017-02-28,2017,2,28,火,W,False
1412,1108,788,2017.03.04,2017明治安田生命J1リーグ 第2節,セレッソ大阪,埼玉スタジアム2002,L,H,○ 3 - 1,3,1,43826,2017-03-04,2017,3,4,土,W,False
1413,1109,789,2017.03.10,2017明治安田生命J1リーグ 第3節,ヴァンフォーレ甲府,埼玉スタジアム2002,L,H,○ 4 - 1,4,1,22711,2017-03-10,2017,3,10,金,W,False
1414,1110,,2017.03.15,AFCチャンピオンズリーグ2017 グループステージ MD3,上海上港(中国),上海体育場,ACL,A,● 2 - 3,2,3,35333,2017-03-15,2017,3,15,水,L,False
1415,1111,790,2017.03.19,2017明治安田生命J1リーグ 第4節,ガンバ大阪,市立吹田サッカースタジアム,L,A,△ 1 - 1,1,1,34733,2017-03-19,2017,3,19,日,D,False
1416,1112,791,2017.04.01,2017明治安田生命J1リーグ 第5節,ヴィッセル神戸,ノエビアスタジアム神戸,L,A,○ 3 - 1,3,1,18889,2017-04-01,2017,4,1,土,W,False
1417,1113,792,2017.04.07,2017明治安田生命J1リーグ 第6節,ベガルタ仙台,埼玉スタジアム2002,L,H,○ 7 - 0,7,0,25372,2017-04-07,2017,4,7,金,W,False
1418,1114,,2017.04.11,AFCチャンピオンズリーグ2017 グループステージ MD4,上海上港(中国),埼玉スタジアム2002,ACL,H,○ 1 - 0,1,0,21858,2017-04-11,2017,4,11,火,W,False
1419,1115,793,2017.04.16,2017明治安田生命J1リーグ 第7節,FC東京,味の素スタジアム,L,A,○ 1 - 0,1,0,38248,2017-04-16,2017,4,16,日,W,False
